,team_tri_for,gameid_for,teamloc_for,goals_for,hits_for,goals_pp_for,shots_for,shots_blocked_for,poss_giveaway_for,poss_takeaway_for,win_for,seasonIdx_for,gameDate_for,gameEnd_for,gameDate_prev_for,gameDate_del_for,gameIdx_next_for,team_tri_against,gameid_against,teamloc_against,goals_against,hits_against,goals_pp_against,shots_against,shots_blocked_against,poss_giveaway_against,poss_takeaway_against,win_against,seasonIdx_against,gameDate_against,gameEnd_against,gameDate_prev_against,gameDate_del_against,gameIdx_now_against,gameIdx_next_against,fenwick_for,corsi_for,fenwick_against,corsi_against,corsi_lvl,corsi_pct,fenwick_lvl,rshots_for,rshots_blocked_for,rshots_against,rshots_blocked_against,rgoals_for,rgoals_against,rpe,rpe_10,rwin,rgame,rwp,rfenwick_for,rfenwick_against,rfenwick_lvl,rcorsi_for,rcorsi_against,rcorsi_lvl,rcorsi_pct,team_tri_for_oppo,gameid_for_oppo,teamloc_for_oppo,goals_for_oppo,hits_for_oppo,goals_pp_for_oppo,shots_for_oppo,shots_blocked_for_oppo,poss_giveaway_for_oppo,poss_takeaway_for_oppo,win_for_oppo,seasonIdx_for_oppo,gameDate_for_oppo,gameEnd_for_oppo,gameDate_prev_for_oppo,gameDate_del_for_oppo,gameIdx_now_for_oppo,gameIdx_next_for_oppo,team_tri_against_oppo,gameid_against_oppo,teamloc_against_oppo,goals_against_oppo,hits_against_oppo,goals_pp_against_oppo,shots_against_oppo,shots_blocked_against_oppo,poss_giveaway_against_oppo,poss_takeaway_against_oppo,win_against_oppo,seasonIdx_against_oppo,gameDate_against_oppo,gameEnd_against_oppo,gameDate_prev_against_oppo,gameDate_del_against_oppo,gameIdx_now_against_oppo,gameIdx_next_against_oppo,fenwick_for_oppo,corsi_for_oppo,fenwick_against_oppo,corsi_against_oppo,corsi_lvl_oppo,corsi_pct_oppo,fenwick_lvl_oppo,rshots_for_oppo,rshots_blocked_for_oppo,rshots_against_oppo,rshots_blocked_against_oppo,rgoals_for_oppo,rgoals_against_oppo,rpe_oppo,rpe_10_oppo,rwin_oppo,rgame_oppo,rwp_oppo,rfenwick_for_oppo,rfenwick_against_oppo,rfenwick_lvl_oppo,rcorsi_for_oppo,rcorsi_against_oppo,rcorsi_lvl_oppo,rcorsi_pct_oppo,fenwick_lvl_for,corsi_lvl_for,rpe_for,rwin_for,rgame_for,wp,kpi_corsi,kpi_fenwick,kpi_pe,rwin_fittedPE,wp_own,wp_ow,wp_oow,rpi,pairwise_win,kpi_pairwise,kpi_rpi,kpi_wp,Final,team_tri_for_against,fenwick_lvl_against,corsi_lvl_against,rpe_against,rwin_against,rgame_against,wp_against,kpi_corsi_against,kpi_fenwick_against,kpi_pe_against,rwin_fittedPE_against,wp_own_against,wp_ow_against,wp_oow_against,rpi_against,pairwise_win_against,kpi_pairwise_against,kpi_rpi_against,kpi_wp_against,Final_against,idx_OppoGood,idx_OppoBetter,win_for_better,win_for_expected,yr_season
0,OTT,2019020001,away,3,11.0,0.0,3.0,3.0,1.0,1.0,0,2,2019-10-02,REG,,,NYR_OTT_2019-10-05,TOR,2019020001,home,5,3.0,0.0,1.0,1.0,1.0,2.0,1,2,2019-10-02,REG,,,OTT_TOR_2019-10-02,TOR_CBJ_2019-10-04,3.0,6.0,1.0,2.0,4.0,0.75,2.0,3.0,3.0,1.0,1.0,3,5,0.2647058823529412,,0,1,0.0,3.0,1.0,2.0,6.0,2.0,4.0,0.75,TOR,2019020001,home,5,3.0,0.0,1.0,1.0,1.0,2.0,1,2,2019-10-02,REG,,,OTT_TOR_2019-10-02,TOR_CBJ_2019-10-04,OTT,2019020001,away,3,11.0,0.0,3.0,3.0,1.0,1.0,0,2,2019-10-02,REG,,,OTT_TOR_2019-10-02,NYR_OTT_2019-10-05,1.0,2.0,3.0,6.0,-4.0,0.25,-2.0,1.0,1.0,3.0,3.0,5,3,0.7352941176470589,,1,1,1.0,1.0,3.0,-2.0,2.0,6.0,-4.0,0.25,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,TOR,-25.0,-42.0,0.5184741833508957,38,75,0.5066666666666667,0.2384428223844282,0.256198347107438,0.7381114128482805,37.938909147262386,0.5066666666666667,0.4955991875423155,0.5071527457314259,0.5012544468706809,13,0.6,0.6496096826329345,0.6636475208640158,0.5666666666666667,False,False,0,0,2019
1,OTT,2019020020,home,1,4.0,0.0,5.0,2.0,0.0,1.0,0,2,2019-10-05,REG,2019-10-02,3 days,STL_OTT_2019-10-10,NYR,2019020020,away,4,1.0,1.0,7.0,2.0,1.0,1.0,1,2,2019-10-05,REG,2019-10-03,2 days,NYR_OTT_2019-10-05,EDM_NYR_2019-10-12,5.0,7.0,7.0,9.0,-2.0,0.4375,-2.0,8.0,5.0,8.0,3.0,4,9,0.16494845360824742,,0,2,0.0,8.0,8.0,0.0,13.0,11.0,2.0,0.5416666666666666,NYR,2019020020,away,4,1.0,1.0,7.0,2.0,1.0,1.0,1,2,2019-10-05,REG,2019-10-03,2 days,NYR_OTT_2019-10-05,EDM_NYR_2019-10-12,OTT,2019020020,home,1,4.0,0.0,5.0,2.0,0.0,1.0,0,2,2019-10-05,REG,2019-10-02,3 days,NYR_OTT_2019-10-05,STL_OTT_2019-10-10,7.0,9.0,5.0,7.0,2.0,0.5625,2.0,11.0,4.0,9.0,4.0,10,5,0.8,,2,2,1.0,11.0,9.0,2.0,15.0,13.0,2.0,0.5357142857142857,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,NYR,128.0,160.0,0.5106145150676534,37,73,0.5068493150684932,0.7299270072992701,0.6776859504132231,0.7181563614368541,37.41711295367474,0.5068493150684932,0.4979892761394102,0.5073564309444708,0.5025460745729461,16,0.5,0.6565575176606318,0.6641011156616298,0.4666666666666667,False,False,0,0,2019
2,OTT,2019020051,home,4,7.0,0.0,8.0,0.0,2.0,0.0,0,2,2019-10-10,REG,2019-10-05,5 days,TBL_OTT_2019-10-12,STL,2019020051,away,6,6.0,0.0,6.0,3.0,2.0,0.0,1,2,2019-10-10,REG,2019-10-07,3 days,STL_OTT_2019-10-10,STL_MTL_2019-10-12,8.0,8.0,6.0,9.0,-1.0,0.47058823529411764,2.0,16.0,5.0,14.0,6.0,8,15,0.22145328719723184,,0,3,0.0,16.0,14.0,2.0,21.0,20.0,1.0,0.5121951219512195,STL,2019020051,away,6,6.0,0.0,6.0,3.0,2.0,0.0,1,2,2019-10-10,REG,2019-10-07,3 days,STL_OTT_2019-10-10,STL_MTL_2019-10-12,OTT,2019020051,home,4,7.0,0.0,8.0,0.0,2.0,0.0,0,2,2019-10-10,REG,2019-10-05,5 days,STL_OTT_2019-10-10,TBL_OTT_2019-10-12,6.0,9.0,8.0,8.0,1.0,0.5294117647058824,-2.0,11.0,8.0,17.0,4.0,14,11,0.6182965299684543,,3,4,0.75,11.0,17.0,-6.0,19.0,21.0,-2.0,0.475,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,STL,-41.0,-54.0,0.5465091280434277,44,80,0.55,0.20924574209245742,0.21212121212121213,0.8092898318979447,39.800123501460135,0.55,0.4964336661911555,0.5506493506493506,0.5233791707579154,8,0.7666666666666667,0.7686214778524634,0.7712628865979383,0.7333333333333333,False,False,0,0,2019
3,OTT,2019020062,home,4,4.0,0.0,3.0,0.0,1.0,0.0,1,2,2019-10-12,REG,2019-10-10,2 days,MIN_OTT_2019-10-14,TBL,2019020062,away,2,5.0,0.0,3.0,1.0,1.0,1.0,0,2,2019-10-12,REG,2019-10-10,2 days,TBL_OTT_2019-10-12,TBL_MTL_2019-10-15,3.0,3.0,3.0,4.0,-1.0,0.42857142857142855,0.0,19.0,5.0,17.0,7.0,12,17,0.3325635103926097,,1,4,0.25,19.0,17.0,2.0,24.0,24.0,0.0,0.5,TBL,2019020062,away,2,5.0,0.0,3.0,1.0,1.0,1.0,0,2,2019-10-12,REG,2019-10-10,2 days,TBL_OTT_2019-10-12,TBL_MTL_2019-10-15,OTT,2019020062,home,4,4.0,0.0,3.0,0.0,1.0,0.0,1,2,2019-10-12,REG,2019-10-10,2 days,TBL_OTT_2019-10-12,MIN_OTT_2019-10-14,3.0,4.0,3.0,3.0,1.0,0.5714285714285714,0.0,18.0,9.0,14.0,6.0,20,17,0.5805515239477503,,2,5,0.4,18.0,14.0,4.0,27.0,20.0,7.0,0.574468085106383,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,TBL,-41.0,-88.0,0.6216238761149476,61,95,0.6421052631578947,0.12652068126520682,0.21212121212121213,1.0,44.786922971048604,0.6421052631578947,0.49056603773584906,0.6423357664233577,0.5663932762632377,1,1.0,1.0,1.0,1.0,True,False,1,0,2019
4,OTT,2019020079,home,0,2.0,0.0,2.0,1.0,1.0,1.0,0,2,2019-10-14,REG,2019-10-12,2 days,OTT_VGK_2019-10-17,MIN,2019020079,away,2,0.0,0.0,3.0,1.0,3.0,0.0,1,2,2019-10-14,REG,2019-10-12,2 days,MIN_OTT_2019-10-14,MIN_TOR_2019-10-15,2.0,3.0,3.0,4.0,-1.0,0.42857142857142855,-1.0,21.0,6.0,20.0,8.0,12,19,0.2851485148514851,,1,5,0.2,21.0,20.0,1.0,27.0,28.0,-1.0,0.4909090909090909,MIN,2019020079,away,2,0.0,0.0,3.0,1.0,3.0,0.0,1,2,2019-10-14,REG,2019-10-12,2 days,MIN_OTT_2019-10-14,MIN_TOR_2019-10-15,OTT,2019020079,home,0,2.0,0.0,2.0,1.0,1.0,1.0,0,2,2019-10-14,REG,2019-10-12,2 days,MIN_OTT_2019-10-14,OTT_VGK_2019-10-17,3.0,4.0,2.0,3.0,1.0,0.5714285714285714,1.0,23.0,5.0,17.0,16.0,12,21,0.24615384615384617,,1,5,0.2,23.0,17.0,6.0,28.0,33.0,-5.0,0.45901639344262296,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,MIN,-7.0,-36.0,0.495671076796222,36,73,0.4931506849315068,0.25304136253041365,0.30578512396694213,0.6802162005771799,36.42503174513699,0.4931506849315068,0.5064319566689235,0.49359886201991465,0.49990336507231714,16,0.5,0.6423420362147808,0.6300815058405793,0.26666666666666666,False,False,0,0,2019
5,OTT,2019020105,away,2,8.0,0.0,7.0,1.0,1.0,0.0,0,2,2019-10-17,SO,2019-10-14,3 days,OTT_ARI_2019-10-19,VGK,2019020105,home,3,5.0,0.0,4.0,1.0,1.0,4.0,1,2,2019-10-17,SO,2019-10-15,2 days,OTT_VGK_2019-10-17,VGK_PIT_2019-10-19,7.0,8.0,4.0,5.0,3.0,0.6153846153846154,3.0,28.0,7.0,24.0,9.0,14,22,0.28823529411764703,,1,6,0.16666666666666666,28.0,24.0,4.0,35.0,33.0,2.0,0.5147058823529411,VGK,2019020105,home,3,5.0,0.0,4.0,1.0,1.0,4.0,1,2,2019-10-17,SO,2019-10-15,2 days,OTT_VGK_2019-10-17,VGK_PIT_2019-10-19,OTT,2019020105,away,2,8.0,0.0,7.0,1.0,1.0,0.0,0,2,2019-10-17,SO,2019-10-14,3 days,OTT_VGK_2019-10-17,OTT_ARI_2019-10-19,4.0,5.0,7.0,8.0,-3.0,0.38461538461538464,-3.0,16.0,20.0,35.0,8.0,29,21,0.65600624024961,,5,8,0.625,16.0,35.0,-19.0,36.0,43.0,-7.0,0.45569620253164556,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,VGK,-118.0,-114.0,0.5536480392089566,51,91,0.5604395604395604,0.06326034063260341,0.0,0.8274149402607837,40.27406928877479,0.5604395604395604,0.5064858490566038,0.5599087105363256,0.5333299922722734,6,0.8333333333333334,0.8221482535251827,0.7971888200165078,0.8666666666666667,True,False,0,0,2019
6,OTT,2019020120,away,2,5.0,0.0,3.0,1.0,0.0,0.0,0,2,2019-10-19,REG,2019-10-17,2 days,OTT_DAL_2019-10-21,ARI,2019020120,home,5,2.0,0.0,2.0,0.0,1.0,2.0,1,2,2019-10-19,REG,2019-10-17,2 days,OTT_ARI_2019-10-19,ARI_NYR_2019-10-22,3.0,4.0,2.0,2.0,2.0,0.6666666666666666,1.0,31.0,8.0,26.0,9.0,16,27,0.2598984771573604,,1,7,0.14285714285714285,31.0,26.0,5.0,39.0,35.0,4.0,0.527027027027027,ARI,2019020120,home,5,2.0,0.0,2.0,0.0,1.0,2.0,1,2,2019-10-19,REG,2019-10-17,2 days,OTT_ARI_2019-10-19,ARI_NYR_2019-10-22,OTT,2019020120,away,2,5.0,0.0,3.0,1.0,0.0,0.0,0,2,2019-10-19,REG,2019-10-17,2 days,OTT_ARI_2019-10-19,OTT_DAL_2019-10-21,2.0,2.0,3.0,4.0,-2.0,0.3333333333333333,-1.0,23.0,8.0,22.0,13.0,21,13,0.7229508196721312,,4,7,0.5714285714285714,23.0,22.0,1.0,31.0,35.0,-4.0,0.4696969696969697,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,ARI,-79.0,-61.0,0.49313533496004774,37,79,0.46835443037974683,0.1922141119221411,0.10743801652892562,0.6737781605882851,36.25668616230142,0.46835443037974683,0.5066079295154186,0.46772068511198944,0.4873227436306434,21,0.3333333333333333,0.574669221386354,0.5685017057847542,0.4,False,False,0,0,2019
7,OTT,2019020132,away,1,7.0,0.0,6.0,3.0,2.0,0.0,0,2,2019-10-21,REG,2019-10-19,2 days,DET_OTT_2019-10-23,DAL,2019020132,home,2,0.0,0.0,1.0,0.0,2.0,1.0,1,2,2019-10-21,REG,2019-10-19,2 days,OTT_DAL_2019-10-21,ANA_DAL_2019-10-24,6.0,9.0,1.0,1.0,8.0,0.9,5.0,37.0,11.0,27.0,9.0,17,29,0.2557522123893805,,1,8,0.125,37.0,27.0,10.0,48.0,36.0,12.0,0.5714285714285714,DAL,2019020132,home,2,0.0,0.0,1.0,0.0,2.0,1.0,1,2,2019-10-21,REG,2019-10-19,2 days,OTT_DAL_2019-10-21,ANA_DAL_2019-10-24,OTT,2019020132,away,1,7.0,0.0,6.0,3.0,2.0,0.0,0,2,2019-10-21,REG,2019-10-19,2 days,OTT_DAL_2019-10-21,DET_OTT_2019-10-23,1.0,1.0,6.0,9.0,-8.0,0.1,-5.0,16.0,11.0,33.0,21.0,23,32,0.3406310367031552,0.34971098265895956,3,11,0.2727272727272727,16.0,33.0,-17.0,27.0,54.0,-27.0,0.3333333333333333,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,DAL,-43.0,-71.0,0.4980657712596805,52,96,0.5416666666666666,0.1678832116788321,0.2066115702479339,0.6862961328861373,36.584013321815256,0.5416666666666666,0.5025706940874036,0.5415462427745664,0.5220885744040101,8,0.7666666666666667,0.7616791905830315,0.7505676239567991,0.9666666666666667,False,False,0,0,2019
8,OTT,2019020143,home,5,6.0,0.0,8.0,3.0,1.0,1.0,1,2,2019-10-23,REG,2019-10-21,2 days,NYI_OTT_2019-10-25,DET,2019020143,away,2,3.0,0.0,3.0,1.0,3.0,0.0,0,2,2019-10-23,REG,2019-10-22,1 days,DET_OTT_2019-10-23,BUF_DET_2019-10-25,8.0,11.0,3.0,4.0,7.0,0.7333333333333333,5.0,45.0,14.0,30.0,10.0,22,31,0.3349480968858132,,2,9,0.2222222222222222,45.0,30.0,15.0,59.0,40.0,19.0,0.5959595959595959,DET,2019020143,away,2,3.0,0.0,3.0,1.0,3.0,0.0,0,2,2019-10-23,REG,2019-10-22,1 days,DET_OTT_2019-10-23,BUF_DET_2019-10-25,OTT,2019020143,home,5,6.0,0.0,8.0,3.0,1.0,1.0,1,2,2019-10-23,REG,2019-10-21,2 days,DET_OTT_2019-10-23,NYI_OTT_2019-10-25,3.0,4.0,8.0,11.0,-7.0,0.26666666666666666,-5.0,33.0,18.0,43.0,21.0,23,38,0.2681196147997973,,3,10,0.3,33.0,43.0,-10.0,51.0,64.0,-13.0,0.4434782608695652,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,DET,-95.0,-114.0,0.22775527005654614,17,71,0.23943661971830985,0.06326034063260341,0.06336088154269973,0.0,18.638346210737268,0.23943661971830985,0.5212609970674487,0.24,0.38048965346330177,31,0.0,0.0,0.0,0.0,False,True,0,1,2019
9,OTT,2019020158,home,2,3.0,0.0,4.0,0.0,1.0,1.0,0,2,2019-10-25,REG,2019-10-23,2 days,SJS_OTT_2019-10-27,NYI,2019020158,away,4,3.0,1.0,6.0,0.0,1.0,0.0,1,2,2019-10-25,REG,2019-10-24,1 days,NYI_OTT_2019-10-25,PHI_NYI_2019-10-27,4.0,4.0,6.0,6.0,-2.0,0.4,-2.0,49.0,14.0,36.0,10.0,24,35,0.3198223209328151,,2,10,0.2,49.0,36.0,13.0,63.0,46.0,17.0,0.5779816513761468,NYI,2019020158,away,4,3.0,1.0,6.0,0.0,1.0,0.0,1,2,2019-10-25,REG,2019-10-24,1 days,NYI_OTT_2019-10-25,PHI_NYI_2019-10-27,OTT,2019020158,home,2,3.0,0.0,4.0,0.0,1.0,1.0,0,2,2019-10-25,REG,2019-10-23,2 days,NYI_OTT_2019-10-25,SJS_OTT_2019-10-27,6.0,6.0,4.0,4.0,2.0,0.6,2.0,36.0,20.0,31.0,10.0,29,24,0.5935074100211715,,7,10,0.7,36.0,31.0,5.0,56.0,41.0,15.0,0.5773195876288659,110.0,121.0,0.381880037684497,25,71,0.352112676056338,0.635036496350365,0.628099173553719,0.3913101101667844,28.870548663519315,0.352112676056338,0.4936960849369608,0.3518789653489507,0.4228459528198026,30,0.03333333333333333,0.22784009648958506,0.27982326951399117,0.03333333333333333,NYI,-4.0,16.0,0.5278667724028548,48,90,0.5333333333333333,0.3795620437956204,0.3140495867768595,0.7619584240278576,38.56247454959556,0.5333333333333333,0.49776071657069737,0.5330940988835726,0.5154872163395752,12,0.6333333333333333,0.7261696186607073,0.7298723613156602,0.8,False,False,0,0,2019
